2024-06-29 15:13:21,287 [DESKTOP-00GDGS0] DEBUG 25808 [           main] c.w.h.HealthCareApiApplication           51 : Running with Spring Boot v3.2.7, Spring v6.1.10
2024-06-29 15:13:22,546 [DESKTOP-00GDGS0] DEBUG 25808 [           main] com.zaxxer.hikari.HikariConfig           968 : Driver class com.mysql.cj.jdbc.Driver found in Thread context class loader jdk.internal.loader.ClassLoaders$AppClassLoader@36baf30c
2024-06-29 15:13:24,076 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1100 : HikariPool-1 - configuration:
2024-06-29 15:13:24,079 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : allowPoolSuspension.............false
2024-06-29 15:13:24,080 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : autoCommit......................true
2024-06-29 15:13:24,080 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : catalog.........................none
2024-06-29 15:13:24,080 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : connectionInitSql...............none
2024-06-29 15:13:24,080 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : connectionTestQuery.............none
2024-06-29 15:13:24,082 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : connectionTimeout...............30000
2024-06-29 15:13:24,082 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : dataSource......................none
2024-06-29 15:13:24,082 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : dataSourceClassName.............none
2024-06-29 15:13:24,082 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : dataSourceJNDI..................none
2024-06-29 15:13:24,083 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : dataSourceProperties............{password=<masked>}
2024-06-29 15:13:24,083 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : driverClassName................."com.mysql.cj.jdbc.Driver"
2024-06-29 15:13:24,083 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : exceptionOverrideClassName......none
2024-06-29 15:13:24,084 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : healthCheckProperties...........{}
2024-06-29 15:13:24,084 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : healthCheckRegistry.............none
2024-06-29 15:13:24,084 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : idleTimeout.....................600000
2024-06-29 15:13:24,084 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : initializationFailTimeout.......1
2024-06-29 15:13:24,084 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : isolateInternalQueries..........false
2024-06-29 15:13:24,085 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : jdbcUrl.........................jdbc:mysql://localhost:3306/health-care-data
2024-06-29 15:13:24,086 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : keepaliveTime...................0
2024-06-29 15:13:24,086 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : leakDetectionThreshold..........0
2024-06-29 15:13:24,086 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : maxLifetime.....................1800000
2024-06-29 15:13:24,086 [DESKTOP-00GDGS0] DEBUG 25808 [omcat-handler-1] com.zaxxer.hikari.HikariConfig           1132 : maximumPoolSize.................3
